Entity,Code,Year,Bioenergy,Geothermal,Offshore wind,Solar photovoltaic,Concentrated solar power,Hydropower,Onshore wind
Argentina,ARG,1995,,,,,,,0.28733253
Argentina,ARG,1997,,,,,,,0.14646001
Argentina,ARG,2008,,,,,,,0.56334573
Argentina,ARG,2009,,,,,,,0.3174372
Argentina,ARG,2012,,,,,,,0.12285538
Argentina,ARG,2013,,,,,,,0.1240685
Argentina,ARG,2014,,,,,,,0.10819013
Argentina,ARG,2015,,,,,,,0.103485994
Argentina,ARG,2017,,,,,,,0.10906031
Argentina,ARG,2018,,,,,,,0.0777057
Argentina,ARG,2019,,,,,,,0.06826742
Argentina,ARG,2020,,,,,,,0.076345235
Argentina,ARG,2021,,,,,,,0.07444711
Argentina,ARG,2022,,,,,,,0.05416029
Argentina,ARG,2023,,,,,,,0.10496025
Argentina,ARG,2024,,,,,,,0.07801637
Australia,AUS,1998,,,,,,,0.27814797
Australia,AUS,2000,,,,,,,0.11067499
Australia,AUS,2001,,,,,,,0.079415925
Australia,AUS,2002,,,,,,,0.1071057
Australia,AUS,2003,,,,,,,0.10730681
Australia,AUS,2004,,,,,,,0.21537563
Australia,AUS,2005,,,,,,,0.1009797
Australia,AUS,2006,,,,,,,0.09629011
Australia,AUS,2007,,,,,,,0.08465411
Australia,AUS,2008,,,,,,,0.1126217
Australia,AUS,2009,,,,,,,0.08532906
Australia,AUS,2010,,,,0.47926226,,,0.14364983
Australia,AUS,2011,,,,0.4866601,,,0.12316695
Australia,AUS,2012,,,,0.29418796,,,0.119919956
Australia,AUS,2013,,,,0.16840646,,,0.096780375
Australia,AUS,2014,,,,0.13854918,,,0.09398979
Australia,AUS,2015,,,,0.11901391,,,0.079403505
Australia,AUS,2016,,,,0.09129986,,,0.0760836
Australia,AUS,2017,,,,0.09988753,,,0.061234146
Australia,AUS,2018,,,,0.08195865,,,0.048564248
Australia,AUS,2019,,,,0.07813796,,,0.046055347
Australia,AUS,2020,,,,0.05878333,,,0.051951263
Australia,AUS,2021,,,,0.047998764,,,0.034564897
Australia,AUS,2022,,,,0.042101234,,,0.034044042
Australia,AUS,2023,,,,0.035940908,,,0.042991333
Australia,AUS,2024,,,,0.049015902,,,0.041197635
Austria,AUT,1995,,,,,,,0.16709122
Austria,AUT,1996,,,,,,,0.19682308
Austria,AUT,1998,,,,,,,0.16518772
Austria,AUT,1999,,,,,,,0.14137939
Austria,AUT,2000,,,,,,,0.101460144
Austria,AUT,2012,,,,,,,0.12294493
Austria,AUT,2013,,,,,,,0.18730833
Austria,AUT,2014,,,,,,,0.11572529
Austria,AUT,2015,,,,,,,0.10284128
Austria,AUT,2016,,,,,,,0.09108656
Austria,AUT,2017,,,,,,,0.07938832
Austria,AUT,2018,,,,,,,0.06818222
Austria,AUT,2022,,,,,,,0.061346963
Austria,AUT,2023,,,,,,,0.046527814
Austria,AUT,2024,,,,,,,0.060438488
Brazil,BRA,2001,,,,,,,0.15993409
Brazil,BRA,2002,,,,,,,0.13552354
Brazil,BRA,2003,,,,,,,0.15401433
Brazil,BRA,2005,,,,,,,0.14452106
Brazil,BRA,2006,,,,,,,0.10430042
Brazil,BRA,2007,,,,,,,0.11009106
Brazil,BRA,2008,,,,,,,0.0890806
Brazil,BRA,2009,,,,,,,0.12805921
Brazil,BRA,2010,,,,,,,0.12241329
Brazil,BRA,2011,,,,0.6053033,,,0.09880132
Brazil,BRA,2012,,,,,,,0.09442217
Brazil,BRA,2013,,,,0.43039694,,,0.08739429
Brazil,BRA,2014,,,,0.16475248,,,0.07265786
Brazil,BRA,2015,,,,0.18041137,,,0.06134729
Brazil,BRA,2016,,,,0.1369159,,,0.059508555
Brazil,BRA,2017,,,,0.0901882,,,0.049828842
Brazil,BRA,2018,,,,0.109691635,,,0.049468793
Brazil,BRA,2019,,,,0.10002088,,,0.03760021
Brazil,BRA,2020,,,,0.079168685,,,0.0355114
Brazil,BRA,2021,,,,0.048540507,,,0.025879038
Brazil,BRA,2022,,,,0.044522054,,,0.024556328
Brazil,BRA,2023,,,,0.042362943,,,0.024863
Brazil,BRA,2024,,,,0.047700368,,,0.029552229
Canada,CAN,1990,,,,,,,0.21800701
Canada,CAN,1992,,,,,,,0.20733283
Canada,CAN,1993,,,,,,,0.067071475
Canada,CAN,1994,,,,,,,0.10289296
Canada,CAN,1996,,,,,,,0.17303517
Canada,CAN,1999,,,,,,,0.17261396
Canada,CAN,2000,,,,,,,0.14301282
Canada,CAN,2001,,,,,,,0.10787458
Canada,CAN,2002,,,,,,,0.10193071
Canada,CAN,2003,,,,,,,0.10292481
Canada,CAN,2004,,,,,,,0.10088977
Canada,CAN,2005,,,,,,,0.08931449
Canada,CAN,2006,,,,,,,0.09795083
Canada,CAN,2007,,,,,,,0.10948784
Canada,CAN,2008,,,,,,,0.111815445
Canada,CAN,2009,,,,,,,0.111110605
Canada,CAN,2010,,,,,,,0.123295695
Canada,CAN,2011,,,,,,,0.108775444
Canada,CAN,2012,,,,,,,0.120673545
Canada,CAN,2013,,,,,,,0.11091199
Canada,CAN,2014,,,,,,,0.09683645
Canada,CAN,2015,,,,,,,0.08901942
Canada,CAN,2016,,,,,,,0.08908108
Canada,CAN,2017,,,,,,,0.071616106
Canada,CAN,2018,,,,0.18192784,,,0.05873548
Canada,CAN,2019,,,,0.11818325,,,0.06275951
Canada,CAN,2020,,,,0.09824132,,,0.039752606
Canada,CAN,2021,,,,0.083293445,,,0.032150827
Canada,CAN,2022,,,,0.07060317,,,0.03363428
Canada,CAN,2023,,,,0.10403274,,,0.03705367
Canada,CAN,2024,,,,,,,0.034564517
Chile,CHL,2009,,,,,,,0.22903171
Chile,CHL,2011,,,,,,,0.1445776
Chile,CHL,2012,,,,0.22282591,,,0.10142308
Chile,CHL,2013,,,,0.16534773,,,0.09987083
Chile,CHL,2014,,,,0.1626658,,,0.09847619
Chile,CHL,2015,,,,0.11264991,,,0.09385943
Chile,CHL,2016,,,,0.103501625,,,0.07938304
Chile,CHL,2017,,,,0.0995589,,,0.074858084
Chile,CHL,2018,,,,0.13199914,,,0.05560858
Chile,CHL,2019,,,,0.105239935,,,0.07951146
Chile,CHL,2020,,,,0.07115699,,,0.04290472
Chile,CHL,2021,,,,0.050731976,,,0.043126326
Chile,CHL,2022,,,,0.046349626,,,0.05577034
Chile,CHL,2023,,,,0.044078536,,,0.050042044
Chile,CHL,2024,,,,,,,0.045645647
China,CHN,1996,,,,,,,0.19703579
China,CHN,1997,,,,,,,0.19703579
China,CHN,1998,,,,,,,0.18075715
China,CHN,1999,,,,,,,0.17674045
China,CHN,2000,,,,,,,0.16147655
China,CHN,2001,,,,,,,0.13482583
China,CHN,2002,,,,,,,0.15183626
China,CHN,2003,,,,,,,0.10630606
China,CHN,2004,,,,,,,0.11227038
China,CHN,2005,,,,,,,0.109912984
China,CHN,2006,,,,,,,0.10429012
China,CHN,2007,,,,,,,0.091322966
China,CHN,2008,,,,,,,0.09664182
China,CHN,2009,,,,,,,0.09794712
China,CHN,2010,,,,0.34322062,,,0.09152074
China,CHN,2011,,,,0.30212963,,,0.08630941
China,CHN,2012,,,,0.22277415,,,0.08474972
China,CHN,2013,,,,0.1744273,,,0.079412304
China,CHN,2014,,,,0.130179,,,0.074812576
China,CHN,2015,,,,0.09669816,,,0.06939407
China,CHN,2016,,,,0.08375809,,,0.0641078
China,CHN,2017,,,,0.07319116,,,0.050430857
China,CHN,2018,,,,0.055854745,,,0.052862674
China,CHN,2019,,,,0.05163111,,,0.041048605
China,CHN,2020,,,,0.043841377,,,0.037784383
China,CHN,2021,,,,0.039096348,,,0.030439317
China,CHN,2022,,,,0.038661644,,,0.02814245
China,CHN,2023,,,,0.03606884,,,0.02639016
China,CHN,2024,,,,0.033003286,,,0.028864766
Costa Rica,CRI,1999,,,,,,,0.08164775
Costa Rica,CRI,2003,,,,,,,0.064329505
Costa Rica,CRI,2009,,,,,,,0.10003424
Costa Rica,CRI,2011,,,,,,,0.10403553
Costa Rica,CRI,2012,,,,,,,0.14357217
Costa Rica,CRI,2014,,,,,,,0.07346697
Costa Rica,CRI,2015,,,,,,,0.0715393
Costa Rica,CRI,2016,,,,,,,0.081541575
Costa Rica,CRI,2017,,,,,,,0.05091786
Croatia,HRV,2008,,,,,,,0.22804287
Croatia,HRV,2009,,,,,,,0.17987502
