Entity,Code,Year,Coal,Oil,Gas,Nuclear,Hydropower,Wind,Solar,Other renewables
Africa,OWID_AFR,1965,1007.7907,1062.5468,29.819527,0,120.33433,0,0,0
Africa,OWID_AFR,1966,981.51587,1122.2854,32.496517,0,130.86993,0,0,0
Africa,OWID_AFR,1967,977.8654,1090.339,31.305054,0,133.15054,0,0,0
Africa,OWID_AFR,1968,990.8808,1123.7396,30.914164,0,151.7462,0,0,0
Africa,OWID_AFR,1969,973.959,1116.4938,35.17781,0,172.49068,0,0,0
Africa,OWID_AFR,1970,987.13947,1188.3414,42.545372,0,210.01434,0,0,0
Africa,OWID_AFR,1971,1020.7446,1258.5009,49.05084,0,192.57452,0,0,1.3658351
Africa,OWID_AFR,1972,997.4033,1321.6022,64.04452,0,213.68655,0,0,1.3385518
Africa,OWID_AFR,1973,1033.3384,1388.9767,99.94951,0,220.03412,0,0,1.3424973
Africa,OWID_AFR,1974,1046.4235,1402.6305,109.44579,0,243.56995,0,0,1.3444566
Africa,OWID_AFR,1975,1078.3076,1430.9707,128.2225,0,250.45772,0,0,1.2848934
Africa,OWID_AFR,1976,1117.7825,1513.4559,141.6911,0,269.77048,0,0,1.3432814
Africa,OWID_AFR,1977,1111.076,1565.7515,154.18674,0,288.28845,0,0,1.3346174
Africa,OWID_AFR,1978,1049.1813,1604.5228,213.80354,0,282.4449,0,0,1.3380576
Africa,OWID_AFR,1979,1081.3818,1642.0144,317.31274,0,293.51767,0,0,1.3390775
Africa,OWID_AFR,1980,1125.5582,1695.8391,387.0478,0,277.8903,0,0,1.3395015
Africa,OWID_AFR,1981,1278.0199,1784.4226,459.29034,0,280.2578,0,0,1.3693814
Africa,OWID_AFR,1982,1367.3331,1814.8744,481.14453,0,271.95844,0,0,1.4381673
Africa,OWID_AFR,1983,1350.7352,1826.022,513.73737,0,238.02339,0,0,1.3611584
Africa,OWID_AFR,1984,1403.9059,1800.8698,478.28033,20.063595,227.42134,0,0,1.3456665
Africa,OWID_AFR,1985,1407.1171,1794.1669,498.45197,26.391539,245.54153,0,0,1.5026791
Africa,OWID_AFR,1986,1398.878,1702.2001,544.1422,42.473705,246.77196,0,0,3.5770698
Africa,OWID_AFR,1987,1398.3822,1752.0232,545.94257,28.920069,230.04967,0,0,3.4713936
Africa,OWID_AFR,1988,1461.3895,1775.3324,588.46344,47.851402,244.40314,0,0,3.211603
Africa,OWID_AFR,1989,1334.6814,1784.7202,593.32587,49.243584,249.68398,0,0,3.079665
Africa,OWID_AFR,1990,1363.9333,1768.9231,619.50464,36.472088,247.15312,0,0,3.9129844
Africa,OWID_AFR,1991,1291.9917,1728.9961,607.79205,38.437626,254.95396,0,0,3.8860767
Africa,OWID_AFR,1992,1266.2325,1714.0192,621.1071,38.038677,236.96477,0,0,3.9344714
Africa,OWID_AFR,1993,1251.9188,1688.0729,592.62195,28.94257,226.12508,0.007978655,0,4.260775
Africa,OWID_AFR,1994,1252.4054,1699.5679,604.6453,37.715927,224.01657,0.021002993,0,3.7048202
Africa,OWID_AFR,1995,1259.5269,1712.1666,629.7742,42.861652,226.61674,0.023894208,0,4.3882732
Africa,OWID_AFR,1996,1245.0006,1707.3788,644.56885,43.5422,230.36821,0.026254743,0,5.2743063
Africa,OWID_AFR,1997,1245.3201,1717.5065,616.1232,45.618263,230.24435,0.025970705,0,5.6664443
Africa,OWID_AFR,1998,1186.6174,1711.1727,632.33435,47.843323,234.46742,0.02673401,0,6.8233833
Africa,OWID_AFR,1999,1192.9808,1730.0698,622.44214,44.03648,242.47768,0.067922585,0,6.598461
Africa,OWID_AFR,2000,1160.8043,1696.8635,670.68726,43.528954,251.94623,0.58718914,0.04045415,8.562847
Africa,OWID_AFR,2001,1146.3722,1681.2776,745.47565,34.781986,262.5461,1.3485118,0.048845343,8.619785
Africa,OWID_AFR,2002,1070.326,1678.2764,768.17487,37.630127,266.9608,1.3920543,0.05164756,8.276241
Africa,OWID_AFR,2003,1135.94,1674.3392,794.7137,38.53756,251.43011,1.6299994,0.058682203,9.233814
Africa,OWID_AFR,2004,1218.6484,1708.8649,904.27075,39.43956,257.4,2.2671463,0.068623565,10.252705
Africa,OWID_AFR,2005,1102.915,1744.5076,857.67426,32.22175,253.4994,2.2267106,0.07734102,10.181223
Africa,OWID_AFR,2006,1090.6432,1727.8372,873.0009,27.73691,254.66913,2.358736,0.097079776,12.410128
Africa,OWID_AFR,2007,1080.694,1741.9154,908.0276,30.352886,255.34576,2.7258499,0.11835885,10.082975
Africa,OWID_AFR,2008,1160.2664,1767.9442,940.3905,33.71682,251.40367,3.401537,0.16206832,10.202193
Africa,OWID_AFR,2009,1126.054,1790.6519,901.26135,32.183968,250.23091,3.994862,0.2099639,10.923274
Africa,OWID_AFR,2010,1088.9677,1826.8722,915.66595,32.86643,261.64627,5.5511737,0.48864862,11.242188
Africa,OWID_AFR,2011,1044.8219,1780.7833,965.3192,30.393623,260.85803,5.6250634,1.3823417,11.328238
Africa,OWID_AFR,2012,992.7234,1865.5101,1016.8672,29.618324,253.2584,5.7505646,2.1679592,11.927247
Africa,OWID_AFR,2013,977.4307,1902.0165,1010.1544,31.14643,259.04807,7.9395676,1.628853,12.470245
Africa,OWID_AFR,2014,997.496,1895.7823,1011.49567,29.527767,265.8036,10.836707,3.972136,14.808489
Africa,OWID_AFR,2015,921.1038,1902.4878,1072.3889,25.40398,251.1261,18.503292,7.361458,18.509308
Africa,OWID_AFR,2016,952.88544,1851.5546,1079.8971,30.189701,239.75836,22.459803,10.565574,18.283848
Africa,OWID_AFR,2017,930.27673,1832.5007,1135.3761,27.673796,244.76193,26.544632,13.475746,18.367165
Africa,OWID_AFR,2018,890.102,1778.1168,1181.3469,21.91219,254.34451,27.937702,15.7702265,19.54597
Africa,OWID_AFR,2019,919.97064,1755.3926,1170.2444,24.34894,253.26038,35.430443,20.271442,19.267347
Africa,OWID_AFR,2020,869.36914,1554.6781,1117.3268,17.719507,263.7599,34.19601,27.164427,18.10778
Africa,OWID_AFR,2021,852.4808,1651.3627,1249.6302,21.53935,271.10706,40.028595,30.435493,17.834179
Africa,OWID_AFR,2022,796.0153,1707.2634,1213.0599,17.163265,275.1665,42.01448,29.273893,18.308043
Africa,OWID_AFR,2023,797.0702,1672.4451,1210.2653,13.351509,275.46545,46.829056,31.25686,20.55148
Africa,OWID_AFR,2024,789.28107,1680.1315,1175.8989,12.565379,273.98288,46.832558,33.611168,22.277845
Algeria,DZA,1965,65.83385,1245.777,600.88245,0,89.85225,0,0,0
Algeria,DZA,1966,62.814594,1610.2141,613.1222,0,78.324524,0,0,0
Algeria,DZA,1967,46.967583,1471.0984,581.5613,0,88.44972,0,0,0
Algeria,DZA,1968,48.559074,1531.0021,597.6983,0,118.72274,0,0,0
Algeria,DZA,1969,60.41128,1581.0326,768.1596,0,74.412346,0,0,0
Algeria,DZA,1970,70.03115,1766.4082,705.9686,0,116.88505,0,0,0
Algeria,DZA,1971,18.972353,1946.2496,783.71155,0,65.01672,0,0,0
Algeria,DZA,1972,16.122463,2087.8394,889.3089,0,95.306915,0,0,0
Algeria,DZA,1973,18.10895,2227.3381,1209.0586,0,141.4168,0,0,0
